Probe Set Name,Stat Pairs,Stat Pairs Used,Avg Diff,Detection,Detection p-value,Stat Common Pairs,Signal Log Ratio,Signal Log Ratio Low,Avg Diff,Change,Change p-value,Positive,Negative,Pairs,Pairs Used,Pairs InAvg,Pos Fraction,Log Avg,Pos/Neg,Avg Diff,Abs Call,Inc,Dec,Inc Ratio,Dec Ratio,Pos Change,Neg Change,Inc/Dec,DPos-DNeg Ratio,Log Avg Ratio Change,Diff Call,Avg Diff Change,B=A,Fold Change,Sort Score
AFFX-BioB-5_at,20,20,284.9,P,0.004484,20,-0.2,-0.4,284.9,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioB-M_at,20,20,340.7,P,0.000044,20,0.3,-0.2,340.7,NC,0.138133,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioB-3_at,20,20,172.9,P,0.000127,20,-0.3,-0.9,172.9,NC,0.5,,https://www.jbc.org/content/suppl/2006/02/01/M513426200.DC1/Table_S4.pdf,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioC-5_at,20,20,860.4,P,0.000169,20,0,-0.2,860.4,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioC-3_at,20,20,426.8,P,0.000044,20,0.2,-0.2,426.8,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioDn-5_at,20,20,649.8,P,0.000044,20,0.6,0.2,649.8,I,0.003738,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-BioDn-3_at,20,20,3162.7,P,0.000052,20,0.1,-0.1,3162.7,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-CreX-5_at,20,20,8471.6,P,0.000044,20,0.5,0.2,8471.6,I,0.000057,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-CreX-3_at,20,20,10583.9,P,0.000044,20,0.3,0.2,10583.9,I,0.000757,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-DapX-5_at,20,20,7.3,A,0.58862,20,-0.3,-2.2,7.3,NC,0.08311,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-DapX-M_at,20,20,15,A,0.5,20,-0.5,-1.5,15,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-DapX-3_at,20,20,3.8,A,0.971543,20,-0.1,-0.4,3.8,NC,0.833421,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-LysX-5_at,20,20,37.1,A,0.39692,20,3.5,1.9,37.1,NC,0.066107,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-LysX-M_at,20,20,6.3,A,0.824672,20,-0.2,-1.1,6.3,NC,0.159952,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-LysX-3_at,20,20,43.5,A,0.108979,20,0.3,-0.3,43.5,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-PheX-5_at,20,20,6.1,A,0.953518,20,0.1,-0.3,6.1,NC,0.5,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-PheX-M_at,20,20,4.7,A,0.804734,20,0.7,0,4.7,NC,0.110635,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-PheX-3_at,20,20,5.1,A,0.794288,20,0.1,-0.4,5.1,NC,0.024085,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-ThrX-5_at,20,20,7.8,A,0.772364,20,0.4,-0.1,7.8,NC,0.085186,,,,,,,,,,,,,,,,,,,,,,,,
AFFX-ThrX-M_at,20,20,23.5,A,0.354453,20,2,0.8,23.5,NC,0.064398,,,,,,,,,,,,,,,,,,,,,,,,
